timestamp,RPM,SPEED,THROTTLE_POS,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,MAF,FUEL_LEVEL
2025-04-11 18:18:16,785.0 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,40.0 percent,90 degree_Celsius,41 degree_Celsius,6.69 gps,N/A
2025-04-11 18:18:18,790.5 revolutions_per_minute,3.0 kilometer_per_hour,0.0 percent,42.745098039215684 percent,90 degree_Celsius,41 degree_Celsius,7.22 gps,N/A
2025-04-11 18:18:21,780.0 revolutions_per_minute,1.0 kilometer_per_hour,0.0 percent,43.529411764705884 percent,90 degree_Celsius,41 degree_Celsius,6.72 gps,N/A
2025-04-11 18:18:23,789.5 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,40.0 percent,91 degree_Celsius,41 degree_Celsius,6.8 gps,N/A
2025-04-11 18:18:25,792.0 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,39.6078431372549 percent,91 degree_Celsius,41 degree_Celsius,6.7700000000000005 gps,N/A
2025-04-11 18:18:28,790.0 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,40.0 percent,91 degree_Celsius,41 degree_Celsius,7.11 gps,N/A
2025-04-11 18:18:30,789.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,39.21568627450981 percent,91 degree_Celsius,41 degree_Celsius,6.91 gps,N/A
2025-04-11 18:18:32,798.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,33.333333333333336 percent,91 degree_Celsius,41 degree_Celsius,7.24 gps,N/A
2025-04-11 18:18:34,790.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,34.90196078431372 percent,91 degree_Celsius,41 degree_Celsius,6.97 gps,N/A
2025-04-11 18:18:37,787.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,30.980392156862745 percent,91 degree_Celsius,41 degree_Celsius,7.05 gps,N/A
2025-04-11 18:18:39,790.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.15686274509804 percent,91 degree_Celsius,41 degree_Celsius,7.38 gps,N/A
2025-04-11 18:18:41,791.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.94117647058823 percent,91 degree_Celsius,41 degree_Celsius,6.74 gps,N/A
2025-04-11 18:18:43,791.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,31.372549019607842 percent,92 degree_Celsius,41 degree_Celsius,6.66 gps,N/A
2025-04-11 18:18:46,791.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.15686274509804 percent,92 degree_Celsius,41 degree_Celsius,7.3 gps,N/A
2025-04-11 18:18:48,792.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,31.764705882352942 percent,92 degree_Celsius,41 degree_Celsius,7.2700000000000005 gps,N/A
2025-04-11 18:18:50,792.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.15686274509804 percent,92 degree_Celsius,41 degree_Celsius,7.19 gps,N/A
2025-04-11 18:18:53,790.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,31.372549019607842 percent,92 degree_Celsius,41 degree_Celsius,7.19 gps,N/A
2025-04-11 18:18:55,790.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,92 degree_Celsius,41 degree_Celsius,12.16 gps,N/A
2025-04-11 18:18:57,791.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,92 degree_Celsius,41 degree_Celsius,12.33 gps,N/A
